animal_0, A corgi panting in front of pink floral wallpaper on a tile floor
animal_1, A black and white baby chicken on a white shelf with books and a white candlestick behind it
animal_2, A red fox like animal climbing down a tree branch covered in moss surrounded by green and red leaves
animal_3, A raccoon climbing a tree with branches and leaves around it
animal_4, Two llamas with blue sky and out-of-focus leaves behind them
animal_5, A panda bear on a rock.
animal_6, Two monkeys sitting back to back
animal_7, A tiger yawning, lying down on a savanna
animal_8, A dolphin looking up toward the surface of the water through which sunlight is shining
animal_9, An antelope in a meadow eating grass with trees behind it
animal_10, Two raccoons on a large tree
